Test No.,Array Size,Execution Time (BF),Execution Time (P),Basic Operation (BF),Basic Operation (P)
1,10000,29627908,1003900,4883715,24144
2,20000,157923243,1194313,30141288,37669
3,30000,1342111842,716165,248551661,48121
4,40000,939849243,458049,177208854,81185
5,50000,1881224257,579702,344738739,45367
6,60000,1410084695,760946,251760834,107349
7,70000,7952689072,768351,1482332422,92488
8,80000,1080171272,993322,198902765,250426
9,90000,17209406684,797266,3226158936,160544
10,100000,26158155264,1206655,4911086971,200057
11,110000,29725108879,876605,5534910655,63898
12,120000,5206464803,1196428,975974758,240413
13,130000,16934802945,1190081,3189414583,192303
14,140000,9878907918,1288814,1851009188,147287
15,150000,10932383642,1522599,2052646628,378557
16,160000,20841446631,1885441,3871734990,401254
17,170000,1402937861,2096659,268150917,432073
18,180000,21440614596,1490863,4063458300,283771
19,190000,25701855574,1756736,4822023678,253181
20,200000,28869747996,2138267,5406104146,281155
21,210000,7131871925,2107943,1335973648,347020
22,220000,14536440286,2113232,2737448049,521877
23,230000,57504311620,2349837,10642071804,272173
24,240000,8952770174,2142146,1676749695,335986
25,250000,11566537174,2847027,2136790461,696290
26,260000,71234198102,2291656,13240138536,319992
27,270000,107452407155,2796955,19865023945,388280
28,280000,100888684214,2759931,18706057755,436972
29,290000,146029196306,2205617,27176965513,422469
30,300000,29078984365,2524383,5413993237,278545
31,310000,16666112941,3965880,3111901037,956844
32,320000,54695211219,2737363,9975699983,467473
33,330000,19807867653,3244778,3590432453,535043
34,340000,43863060269,3851279,7843025129,735267
35,350000,25522917790,3566718,4690831031,526745
36,360000,149888744159,3631952,27237665420,739493
37,370000,34507455903,3453175,6296885547,490419
38,380000,57833444701,3342100,10477796164,481050
39,390000,5682610111,4451433,1031565533,983075
40,400000,53663027545,3395346,9796489128,706808
41,410000,227980422019,5233536,40923599818,941505
42,420000,178486200524,4083653,31935942779,739854
43,430000,81536917729,4549460,14643664373,956873
44,440000,13985364646,3309660,2560856765,400921
45,450000,89939883093,4697206,16452893759,768179
46,460000,206652498060,4422871,37213979656,517961
47,470000,5325188712,5092842,985275796,1211645
48,480000,325597965896,4897845,58459118631,592797
49,490000,17046601463,6639066,3131707783,1955561
50,500000,91265749535,5822054,15905884662,1491070
